crate_name,abi,discriminant,reason,err_id,err_text
GSL-sys,C,5,11,7,"auto::gsl_block_ulong_struct"
GSL-sys,C,5,11,96,"auto::gsl_odeiv2_evolve_struct"
GSL-sys,C,5,11,84,"auto::gsl_multiroot_function_fdf_struct"
GSL-sys,C,5,11,112,"auto::gsl_spmatrix_long_double"
pngquant,C,5,16,1,"imagequant::attr::Attributes"
pngquant,C,5,16,0,"imagequant::image::Image<'_>"
icu_capi,C,7,3,0,"str"
icu_capi,C,9,5,1,"[usize]"
icu_capi,C,1,7,2,"char"
jitterentropy-sys,C,3,6,0,"u128"
cursed,C,5,16,0,"core::any::TypeId"
cyclors,C,3,6,0,"u128"
hc_zome_file_storage_integrity,C,3,6,0,"u128"
wascc-fs,C,14,4,0,"dyn codec::capabilities::CapabilityProvider"
in3-sys,C,3,6,0,"u128"
luasocket,C,5,11,0,"td_rlua::lua_State"
wasmer-runtime-core-near,C,5,16,2,"types::ImportedMemoryIndex"
wasmer-runtime-core-near,C,5,16,0,"types::LocalMemoryIndex"
wasmer-runtime-core-near,C,5,16,3,"types::LocalTableIndex"
wasmer-runtime-core-near,C,5,16,1,"units::Pages"
mech-system,C,5,16,2,"std::string::String"
mech-system,C,5,16,1,"crossbeam_channel::Sender<mech_utilities::RunLoopMessage>"
mech-system,C,14,4,0,"dyn mech_utilities::MachineRegistrar"
squirrel,C,5,11,0,"SQVM"
krust,stdcall,8,20,0,"[f32; 4]"
nvdialog-rs,C,5,11,1,"NvdQuestionBox"
nvdialog-rs,C,5,11,2,"NvdFileDialog"
nvdialog-rs,C,5,11,0,"NvdDialogBox"
flite-sys,C,3,6,0,"u128"
mouse_automation,system,5,16,0,"Input"
wasmcloud-nats-kvcache,C,14,4,0,"dyn codec::CapabilityProvider"
freefare-sys,C,8,20,1,"[u8; 6]"
freefare-sys,C,8,20,2,"[u8; 16]"
freefare-sys,C,8,20,0,"[u8; 4]"
glpk-sys,C,8,20,0,"[Struct___va_list_tag; 1]"
mech-time,C,5,16,1,"crossbeam_channel::Sender<mech_utilities::RunLoopMessage>"
mech-time,C,14,4,0,"dyn mech_utilities::MachineRegistrar"
mech-time,C,5,16,2,"std::string::String"
fmod,C,5,16,5,"ffi::FMOD_CHANNELGROUP"
fmod,C,5,16,6,"ffi::FMOD_SOUNDGROUP"
fmod,C,5,16,2,"ffi::FMOD_SOUND"
fmod,C,5,16,1,"ffi::FMOD_DSP"
fmod,C,5,16,3,"ffi::FMOD_CHANNEL"
fmod,C,5,16,0,"ffi::FMOD_SYSTEM"
fmod,C,5,16,7,"ffi::FMOD_DSPCONNECTION"
fmod,C,5,16,4,"ffi::FMOD_REVERB"
fmod,C,5,16,9,"ffi::FMOD_SYNCPOINT"
fmod,C,5,16,8,"ffi::FMOD_GEOMETRY"
reax,C,13,1,0,"fn(*const ())"
caldera-bindings,C,3,6,0,"u128"
quickjs-sys,C,3,6,0,"u128"
