crate_name,category,abi,count
hactool-sys-0.4.4,foreign_functions,C,463
hactool-sys-0.4.4,static_items,C,3
pools-0.1.16,rust_functions,C,1
tun-tap-0.1.3,foreign_functions,C,1
similari-0.23.0,rust_functions,C,192
sqlite-loadable-0.0.3,rust_functions,C,23
tree-sitter-nasl-0.1.0,foreign_functions,C,1
libket-0.2.2,rust_functions,C,57
smart-contract-0.2.2,foreign_functions,C,10
nstd_input-0.5.0,rust_functions,C,4
pkt_wasm-0.1.3,rust_functions,C,1
caelum-diddoc-0.1.3,rust_functions,C,24
zaplib_objc_sys-0.0.3,foreign_functions,C,55
tree-sitter-markdown-0.7.1,foreign_functions,C,1
dukt-sys-0.1.0,foreign_functions,C,278
virtualization-rs-0.1.2,foreign_functions,C,3
verdigris-0.1.1,rust_functions,C,1
sgx_libc-1.1.1,foreign_functions,C,123
fastlz-sys-0.1.0,foreign_functions,C,3
wacom-sys-0.1.0,foreign_functions,C,163
wacom-sys-0.1.0,static_items,C,8
llvmint-0.0.3,foreign_functions,C,8661
memflow-kvm-0.2.0-beta7,rust_functions,C,1
ia-sandbox-0.2.0,rust_functions,C,2
fuchsia_backtrace-0.1.0,foreign_functions,C,1
fuchsia_backtrace-0.1.0,rust_functions,C,1
fastcmp-1.0.1,foreign_functions,C,1
libwebp-sys2-0.1.4,foreign_functions,C,65
libwebp-sys2-0.1.4,rust_functions,C,10
pprof-0.11.0,foreign_functions,C,1
pprof-0.11.0,rust_functions,C,1
nsvg-0.5.1,foreign_functions,C,6
dittolive-ditto-3.0.0,rust_functions,C,17
alloc-stdlib-0.2.2,foreign_functions,C,2
wita-0.20.0,rust_functions,system,3
text-to-sounds-1.1.1,rust_functions,C,1
yew_svg-0.2.1,foreign_functions,C,1
rbdc-sqlite-0.1.14,rust_functions,C,4
mpl-candy-machine-core-0.1.3,rust_functions,C,1
cue-sdk-0.0.3,rust_functions,C,2
ofo-0.1.0,rust_functions,C,2
ergo-lib-jni-0.21.1,rust_functions,system,2
fasthash-sys-fork-0.4.2,foreign_functions,C,115
fasthash-sys-fork-0.4.2,static_items,C,3
bustd-0.1.1,static_items,C,1
hamming_rs-0.2.21,foreign_functions,C,1
namespaces-4.1.61,rust_functions,C,1
otter-cli-1.2.1,rust_functions,C,22
woo-0.1.0,rust_functions,C,2
fuzzy_dbscan-0.3.0,rust_functions,C,4
reax-0.2.0,rust_functions,C,18
oasis-test-0.4.1,rust_functions,C,22
dispatch-0.2.0,foreign_functions,C,29
dispatch-0.2.0,static_items,C,2
nanos-sdk-rs-0.2.0,foreign_functions,C,153
nanos-sdk-rs-0.2.0,static_items,C,1
cloudflare-zlib-sys-0.3.0,foreign_functions,C,56
libc-strftime-0.2.0,foreign_functions,C,5
memflow-coredump-0.2.0-beta7,rust_functions,C,2
csfml-window-sys-0.6.0,foreign_functions,C,61
lzma-sys-0.1.20,foreign_functions,C,52
tree-sitter-ruby-0.20.0,foreign_functions,C,1
libceed-0.9.0,rust_functions,C,1
pwa-0.1.0,rust_functions,C,1
whoami-1.2.3,foreign_functions,system,3
ntserum-swap-0.5.1,rust_functions,C,1
saxx-0.1.2,foreign_functions,C,16
perfect6502-sys-0.2.0,foreign_functions,C,15
perfect6502-sys-0.2.0,static_items,C,3
vapoursynth-0.4.0,rust_functions,system,9
openslide-0.2.0,foreign_functions,C,11
rocksdb-0.19.0,rust_functions,C,20
xcb-1.2.0,foreign_functions,C,38
tree-sitter-integerbasic-1.0.2,foreign_functions,C,1
tree-sitter-thrift-0.1.0,foreign_functions,C,1
torch-0.1.0,foreign_functions,C,3110
torch-0.1.0,static_items,C,22
stpl-0.5.0,rust_functions,rust-call,2
tinki-0.1.0,rust_functions,C,1
russell_stat-0.4.1,foreign_functions,C,2
wkhtmltopdf-0.4.0,rust_functions,C,5
hexchat-unsafe-plugin-2.3.0,rust_functions,C,5
makepad-0.1.0,rust_functions,C,2
viam-rust-utils-0.0.6,rust_functions,C,46
spng-sys-0.2.0-alpha.2,foreign_functions,C,53
discid-sys-0.4.0,foreign_functions,C,22
wasmedge_process_interface-0.2.1,foreign_functions,C,11
shogi_legality_lite-0.1.2,rust_functions,C,3
reminisce-0.9.1,foreign_functions,C,3
summon-api-sdk-0.1.0,rust_functions,C,7
ni-syscfg-sys-20.5.0,foreign_functions,C,75
uu_stdbuf_libstdbuf-0.0.16,foreign_functions,C,3
uu_stdbuf_libstdbuf-0.0.16,rust_functions,C,1
dodrio-js-api-0.2.0,rust_functions,C,1
librsync-ffi-0.1.0,foreign_functions,C,5
voxelizer-1.0.0,foreign_functions,C,7
libelf-sys-0.1.0,foreign_functions,C,110
rslint_core-0.3.0,rust_functions,C,32
special-fun-0.2.0,foreign_functions,C,218
aotuv_lancer_vorbis_sys-0.1.0,foreign_functions,C,75
context-2.1.0,foreign_functions,C,3
libconfig-sys-0.1.0,foreign_functions,C,55
ast-grep-tree-sitter-c-sharp-0.20.0,foreign_functions,C,1
rustuino-0.1.0,rust_functions,C,1
fere-0.0.0,rust_functions,system,1
web-assembly-whipshout-1.0.0,rust_functions,C,13
consistenttime-0.2.0,rust_functions,C,20
hermit-abi-0.2.6,foreign_functions,C,44
hermit-abi-0.2.6,foreign_functions,Rust,15
ffi_utils-0.17.0,rust_functions,C,5
inkwell-0.1.0-beta.5,rust_functions,C,1
prosemd-lsp-0.1.0,foreign_functions,C,1
pmc-rs-0.2.1,foreign_functions,C,1
pmc-rs-0.2.1,rust_functions,C,10
tree-sitter-javascript-0.20.0,foreign_functions,C,1
sfunc-0.0.4,foreign_functions,C,3
tao-of-rust-1.0.2,rust_functions,rust-call,3
maskedvbyte-sys-0.1.0,foreign_functions,C,14
moonalloy-0.3.4,rust_functions,C,24
coco-sys-0.4.0,foreign_functions,C,500
coco-sys-0.4.0,static_items,C,2
flipperzero-rt-0.5.0,foreign_functions,Rust,1
flipperzero-rt-0.5.0,rust_functions,C,1
time-0.1.45,foreign_functions,C,1
rusqlite-le-0.24.2,rust_functions,C,1
libc-spawn-0.0.1,foreign_functions,C,23
xrpl-hooks-0.3.1,foreign_functions,C,69
crt0stack-0.1.0,static_items,C,1
NT-serum-swap-0.4.6,rust_functions,C,1
wasmedge_tensorflow_interface-0.2.2,foreign_functions,C,25
syslog-ng-common-0.7.0,rust_functions,C,2
mosquitto-jwt-auth-0.2.0,rust_functions,C,10
rorm-0.3.0,static_items,Rust,4
fann-sys-0.1.7,foreign_functions,C,133
fann-sys-0.1.7,static_items,C,1
mips-rt-0.3.0,rust_functions,C,1
mips-rt-0.3.0,static_items,C,1
lzf-sys-0.1.0,foreign_functions,C,2
catboost-sys-0.1.6,foreign_functions,C,36
om-fork-ep-miniaudio-sys-2.6.0,foreign_functions,C,342
mpg123-sys-0.6.0,foreign_functions,C,92
nstd_events-0.5.0,rust_functions,C,3
truncnorm-0.5.1,foreign_functions,C,144
honestintervals-0.2.0,foreign_functions,C,32
tree-sitter-r-0.19.5,foreign_functions,C,1
pkcs11-bindings-0.1.4,foreign_functions,C,1
mioco-0.8.1,rust_functions,C,2
solana-router-orca-1.1.3,rust_functions,C,1
taos-optin-0.1.7,rust_functions,C,5
plotters-conrod-0.3.11,foreign_functions,C,11
cardinal-marketplace-1.3.1,rust_functions,C,1
iron-oxide-0.1.1,foreign_functions,C,5
iron-oxide-0.1.1,static_items,C,1
rust-macios-0.4.1,foreign_functions,C,127
rust-macios-0.4.1,rust_functions,C,58
rust-macios-0.4.1,static_items,C,252
mpl-auction-house-1.3.4,rust_functions,C,1
ckb-x64-simulator-0.7.0,foreign_functions,C,1
ckb-x64-simulator-0.7.0,rust_functions,C,18
wasmhaiku-glue-0.1.0,foreign_functions,C,4
azure-kinect-sys-0.2.0,foreign_functions,system,5
azure-kinect-sys-0.2.0,static_items,C,1
bootloader-x86_64-uefi-0.11.0,rust_functions,efiapi,1
steam-audio-0.3.0,rust_functions,C,3
bk_allocator-0.1.0,foreign_functions,C,4
bk_allocator-0.1.0,static_items,C,1
tree-sitter-json-0.19.0,foreign_functions,C,1
switcher2-0.1.0,rust_functions,C,2
remote-trait-object-0.5.0,static_items,C,2
assemblylift-awslambda-guest-0.3.1,foreign_functions,C,2
wral-0.2.0,rust_functions,rust-call,1
xtp-0.1.0-alpha.4,foreign_functions,C,70
xtp-0.1.0-alpha.4,rust_functions,C,46
ergo-lib-wasm-0.21.1,rust_functions,C,308
GSL-sys-3.0.0,foreign_functions,C,5168
GSL-sys-3.0.0,static_items,C,172
errno-no-std-0.1.5,foreign_functions,C,1
librsync-0.2.1,rust_functions,C,2
rocksdbx-0.19.0,rust_functions,C,20
gmt_mount-ctrl_sampling8000-damping002_ze30-0.1.0,foreign_functions,C,3
gmt_mount-ctrl_sampling8000-damping002_ze30-0.1.0,static_items,C,2
readmouse-0.2.1,foreign_functions,C,4
pinar-0.1.0,rust_functions,C,12
libpcap-0.1.7,foreign_functions,C,41
service-management-sys-0.1.0,foreign_functions,C,2
service-management-sys-0.1.0,static_items,C,2
ssh2-0.9.3,rust_functions,C,1
cudnn-sys-0.0.3,foreign_functions,C,72
linux-support-common-0.0.0,foreign_functions,C,11
linux-support-common-0.0.0,rust_functions,C,2
python3-sys-0.7.1,foreign_functions,C,751
python3-sys-0.7.1,static_items,C,155
rust-blas-0.2.0,foreign_functions,C,144
sharedlib-7.0.0,foreign_functions,C,4
cuba-0.2.4,foreign_functions,C,5
cuba-0.2.4,rust_functions,C,5
cardinal-paid-claim-approver-2.1.0,rust_functions,C,1
wireguard-nt-0.3.0,rust_functions,C,1
nudge-0.2.2,rust_functions,C,2
miss-demeanor-pluginutils-0.3.0,rust_functions,C,4
x86intrin-0.4.5,foreign_functions,C,93
x86intrin-0.4.5,foreign_functions,platform-intrinsic,44
datatest-0.7.1,rust_functions,rust-call,6
tsc-0.1.0,foreign_functions,C,1
nj-sys-3.0.0,foreign_functions,C,139
libduckdb-sys-0.6.1,foreign_functions,C,342
libduckdb-sys-0.6.1,static_items,C,2
megatiny_hal-0.2.0,rust_functions,C,1
tree-sitter-qmljs-0.1.2,foreign_functions,C,1
gaborator-sys-0.1.1,foreign_functions,C,24
gaborator-sys-0.1.1,rust_functions,C,13
nix-0.23.2,rust_functions,C,1
tty-0.5.0,foreign_functions,C,3
kincaid-0.2.4,rust_functions,C,4
zstd-seekable-0.1.7,foreign_functions,C,40
zstd-seekable-0.1.7,rust_functions,C,2
psp2-sys-0.2.2,foreign_functions,C,120
empy-1.0.0-alpha2,foreign_functions,C,3
palaver-0.3.0-alpha.3,rust_functions,C,1
palaver-0.3.0-alpha.3,static_items,C,1
wasm-bus-1.1.0,foreign_functions,C,12
wasm-bus-1.1.0,rust_functions,C,6
gmt_mount-ctrl_sampling8000-damping0005-1.0.0,foreign_functions,C,6
gmt_mount-ctrl_sampling8000-damping0005-1.0.0,static_items,C,4
prototty_wasm_input-0.27.0,rust_functions,C,17
solana-lualoader-0.11.0,rust_functions,C,1
libpng-sys-1.1.9,foreign_functions,C,242
cargo-minicov-0.1.2,foreign_functions,C,5
smashnet-0.2.0,rust_functions,Rust,6
smashnet-0.2.0,rust_functions,C,17
minilzo3-0.1.0,foreign_functions,C,4
hello_bash_plugin-0.1.0,rust_functions,C,1
swc_estree_ast-0.19.23,rust_functions,C,1
godot-ggrs-wrapper-0.5.0,rust_functions,C,51
minimp4-0.1.0,foreign_functions,C,1
minimp4-0.1.0,rust_functions,C,1
rsubox-0.2.0,rust_functions,C,1
libffi-sys-2.0.1,foreign_functions,C,22
libffi-sys-2.0.1,static_items,C,13
coroutine-0.8.0,rust_functions,C,3
brioche-ducc-0.1.2-brioche,rust_functions,C,6
gbm-0.9.0,rust_functions,C,1
libiio-sys-0.3.1,foreign_functions,C,245
dragula-0.1.0,rust_functions,C,20
tipc-0.1.2,foreign_functions,C,53
libfvad-sys-1.0.0,foreign_functions,C,6
sourmash-0.11.0,rust_functions,C,128
rust-libcint-0.1.3,foreign_functions,C,21
rusty-cffi-0.0.2,rust_functions,C,17
moon-engine-0.1.1,rust_functions,C,6
pqcrypto-threebears-0.2.0,foreign_functions,C,18
web_logger-0.2.0,foreign_functions,C,5
iconv-0.1.1,foreign_functions,C,3
grep_cdylib-0.1.3,rust_functions,C,4
wasm4fun-core-0.1.0,foreign_functions,C,12
libmacchina-6.3.1,foreign_functions,C,1
libuv-2.5.0,rust_functions,C,26
pmdk-0.9.4,rust_functions,C,1
tcurses-0.1.2,foreign_functions,C,11
librsync-sys-0.1.2,foreign_functions,C,10
solana-failure-program-1.7.15,rust_functions,C,1
akinator-py-0.2.1,rust_functions,C,63
stdweb-0.4.20,foreign_functions,C,940
php-rs-0.1.0,foreign_functions,C,3
redismodule-0.1.2,foreign_functions,C,1
redismodule-0.1.2,static_items,C,102
wasmcloud-fs-0.4.1,rust_functions,C,1
ndless-sys-0.2.0,foreign_functions,C,1131
libaquestalk-sys-0.1.4,foreign_functions,C,2
stackful-0.1.5,foreign_functions,C,3
stackful-0.1.5,rust_functions,C,1
inkview-sys-0.1.2,foreign_functions,C,431
inkview-sys-0.1.2,rust_functions,C,1
inkview-sys-0.1.2,static_items,C,3
libhdfs3-sys-0.2.0,foreign_functions,C,65
cloudabi-0.1.0,foreign_functions,C,49
mujs-0.0.3,foreign_functions,C,69
tree-sitter-mozjs-0.19.0,foreign_functions,C,1
slides-0.1.5,foreign_functions,C,2
zmq-sys2-0.3.0,foreign_functions,C,70
pstoedit-sys-0.1.0,foreign_functions,C,5
distrs-0.2.0,foreign_functions,C,2
lsynth-1.0.1,rust_functions,C,15
freetype-rs-0.32.0,rust_functions,C,3
gpl-math-0.1.0,rust_functions,C,1
tree-sitter-clingo-0.0.12,foreign_functions,C,1
rust_graphics_log-0.1.7,foreign_functions,C,1
tokio_wasi-1.21.3,rust_functions,C,1
libzt-0.1.2,foreign_functions,C,729
libzt-0.1.2,rust_functions,C,1
libzt-0.1.2,static_items,C,18
libloading-mini-0.1.2,foreign_functions,C,4
notnow-0.2.6,rust_functions,C,1
lnpbp_secp256k1zkp-0.9.0-alpha.1,foreign_functions,C,63
lnpbp_secp256k1zkp-0.9.0-alpha.1,static_items,C,2
wascc-httpsrv-0.9.2,rust_functions,C,1
argv-0.1.7,rust_functions,C,1
