error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
298,rsworld-sys,0.1.0,tests::test_decode_aperiodicity,LLI interoperation error,Unsupported LLVM Type,"LLI interoperation error: Unsupported LLVM Type: { i64, i1 }",FALSE,1
299,rtreec,0.1.0,tests::rtreec_new,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
302,rustc-llvm-proxy,0.2.0,module_creation,Test Failed,NA,"test failed, to rerun pass `--test llvm-api`",FALSE,1
304,rustsat-kissat,0.1.1,unsat_small_unsat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f1ff4197868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
305,rustsat-kissat,0.1.1,test::build_two,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f2175a6e868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
306,rustsat-kissat,0.1.1,sat_small_unsat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f2a18df6868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
307,rustsat-kissat,0.1.1,test::tiny_instance_unsat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f3959210868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
308,rustsat-kissat,0.1.1,sat_small_sat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f3cc1d39868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
309,rustsat-kissat,0.1.1,small_sat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f5bdc284868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
310,rustsat-kissat,0.1.1,small_unsat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f64e1a85868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
311,rustsat-kissat,0.1.1,test::limit,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f8961221868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
