error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
29,bzip2,0.4.4,bufread::tests::bug_61,Undefined Behavior,read access through <96400> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
30,bzip2,0.4.4,read::tests::multistream_read_till_eof,Undefined Behavior,read access through <96460> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,11
31,carbon-dump,1.2.2,sublime::main,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x10[noalloc] is a dangling pointer (it has no provenance),FALSE,1
32,cashu,0.0.2,mint::test::becdh,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,FALSE,1
34,cat_solver,0.1.0,tests::bad_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,4
36,chmlib-sys,1.0.0,open_example_file,Test Failed,NA,"test failed, to rerun pass `--test smoke_test`",FALSE,1
37,cifar_10_loader,0.2.0,test::test_cifar_10_loader_rs,Stack Overflow,NA,266:fatal runtime error: stack overflow,FALSE,1
38,clickhouse-driver-cthrs,0.1.1,tests::test_hash_128,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,1
39,clickhouse-driver-lz4,0.1.0,test::test_decompression,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
40,clickhouse-driver-lz4,0.1.0,test::test_compression,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,1
41,cpclib-asm,0.7.0,lzclose,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f4a226f0868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
42,crymap,1.0.1,support::buffer::test::large_with_small_ops,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,1
43,crypto_pimitives,0.1.1,aesni_test::aesni_192_key_expansion_test,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 24, so pointer to 8 bytes starting at offset 24 is out-of-bounds",FALSE,1
44,ctaes-sys,0.1.0,tests::aes_gcm_decrypt_test_vectors,Undefined Behavior,constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0],"Undefined Behavior: constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0]: encountered uninitialized memory, but expected an integer",FALSE,2
45,cyme,1.5.0,test_list,Stack Overflow,NA,240:fatal runtime error: stack overflow,FALSE,1
46,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_mixed_order_projection::case_3,Undefined Behavior,read access through <920791> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,8
47,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_mixed_order_projection::case_4,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,8
49,dec,0.4.8,decnum_raw_parts,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE,5
51,dec,0.4.8,test_i128_to_decimal,Undefined Behavior,read access through <112215> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,2
52,dec,0.4.8,test_agg_wide_narrow_decnum,Undefined Behavior,read access through <111797> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,9
53,dec,0.4.8,test_standard_notation_decimal,Undefined Behavior,read access through <115119> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
54,dec,0.4.8,decnum_round_reduce_to_place,Undefined Behavior,read access through <110754> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
55,dec,0.4.8,decnum_round_to_place,Undefined Behavior,read access through <110634> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
56,dec,0.4.8,test_decimal128_special_value_coefficient,Undefined Behavior,read access through <111628> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,2
57,dec,0.4.8,test_ordered_decimal64,Undefined Behavior,read access through <131627> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
58,dec,0.4.8,test_ordered_decimal128,Undefined Behavior,read access through <131769> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
59,dec,0.4.8,test_decimal64_set_exponent,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
60,dec,0.4.8,test_decimal128_set_exponent,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,3
61,dec,0.4.8,test_u128_to_decimal128,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
62,dec,0.4.8,test_i128_to_decimal128,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
63,dec-number-sys,0.0.25,test_dec_double_zero,LLI interoperation error,LLVM field count mismatch,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",FALSE,4
64,dec-number-sys,0.0.25,test_dec_quad_divide_fma,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 112, so pointer to 4 bytes starting at offset 109 is out-of-bounds",FALSE,1
65,dec-number-sys,0.0.25,test_dec_quad_remainder,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 112, so pointer to 4 bytes starting at offset 110 is out-of-bounds",FALSE,1
66,dec-number-sys,0.0.25,test_dec_quad_get_coefficient,Undefined Behavior,write access through <110882> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
67,dec-number-sys,0.0.25,test_dec_quad_get_exponent,Test Failed,NA,"test failed, to rerun pass `--test dec_quad`",FALSE,1
68,decnumber-sys,0.1.5,simple_addition,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE,1
69,digibyte,0.27.3,util::bip32::tests::test_vector_1,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,3
72,dply,0.2.0,group_by::summarize_list,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,1
73,ducc,0.1.5,tests::array::elements,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE,42
74,duk,0.3.0,tests::call_non_existent,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE,27
75,dukt,0.1.0,serialize::tests::deserialize_num,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE,6
76,dukt-macros,0.1.1,adder,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE,6
77,ecma_regex,0.0.2,supports_look_ahead,Undefined Behavior,"deallocating alloc26098, which is C heap memory, using Rust heap deallocation operation","Undefined Behavior: deallocating alloc, which is C heap memory, using Rust heap deallocation operation",FALSE,1
78,emd,0.1.1,tests::test_distance,memory leaked,"alloc32751 (Rust heap, size","memory leaked: alloc (Rust heap, size: 32, align: 8), allocated here:",FALSE,1
79,entab,0.3.1,compression::tests::test_read_bzip2,Undefined Behavior,read access through <112118> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
80,ep-capstone,0.2.0,arch::arm::test::arm_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 14, so pointer to 1 byte starting at offset 14 is out-of-bounds",FALSE,5
81,ep-capstone,0.2.0,arch::m68k::test::m68k_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 15, so pointer to 1 byte starting at offset 15 is out-of-bounds",FALSE,4
82,ep-capstone,0.2.0,arch::arm64::test::arm64_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 16, so pointer to 1 byte starting at offset 16 is out-of-bounds",FALSE,4
