crate_name,version
umm-malloc-sys,0.3.2
libv4l-sys,0.2.2
iconv-sys,0.0.4
haizhi-librocksdb-sys,0.1.0
jni-glue,0.0.10
opencc-sys,0.1.7+1.1.6
graphviz-ffi,0.1.2
tf-docker,0.1.0
raw-syscall-enumerated,0.7.6
aubio,0.2.1
ash-layer,0.0.1
libdb-sys,0.1.1
mc-sgx-tcrypto-sys-types,0.6.0
login_cap-sys,0.1.0
fastlz-sys,0.1.0
eclair_bindings,0.1.0
winhandle,0.3.0
xpc-sys,0.4.0
capstone-sys,0.15.0
rkdb,0.4.0
dw-sys,0.1.0
klee-bindings,0.1.0
mp3lame-sys,0.1.4
mc-sgx-dcap-tvl-sys,0.6.0
boring-sys,2.1.0
hinawa-sys,0.7.0
opensc-sys,0.1.1
pylon-sys,0.1.3
bonjour-sys,0.1.0
erlang_nif-sys,0.6.4
gbm-sys,0.2.2
alembic-sys,0.0.0
android-properties,0.2.2
rkaiq,0.1.0
neon-utils,1.1.0
getaddrs,0.1.0
itron,0.1.9
pciswitch-user,0.0.0
discid-sys,0.5.0
libzmq-sys,0.1.8+4.3.2
substreams-sink-prometheus,0.1.9
pam-sys,1.0.0-alpha4
libvmdk-sys,0.1.0
dpdk-sys,0.1.5
nt_version,0.1.3
scotch-sys,0.1.1
dccp,0.1.0
mir-sys,0.1.0+mir.0.1.1
vswhom,0.1.0
wepoll-sys-stjepang,1.0.8
input_event_codes_hashmap,0.1.1
imnodes-sys,0.1.0
wooting-analog-sdk-sys,0.1.0
cl3,0.9.1
sleef-sys,0.1.2
openvr-sys2,0.1.0
authenticode-parser-sys,0.3.1
libsqlite3-sys-ic,0.25.0
tobii-sys,0.2.0
libdevmapper-sys,0.1.0
alsaseq-sys,0.4.0
al-sys,0.6.1
xdpsock-ffi,0.1.0
neko,0.1.0
libz-sys,1.1.9
arcdps-imgui-sys,0.8.0
winapi_forked_icmpapi,0.3.7
minidl,0.1.5
alsarawmidi-sys,0.4.0
ducc0,0.30.1
dnf5,0.0.0
byztime-sys,2.0.0
hitaki-sys,0.3.0
plcnext-axioline,0.1.0
cu,0.1.1
gmssl-sys,0.1.2
windows-dll,0.4.1
libmysofa-sys,0.1.2
aotuv_lancer_vorbis_sys,0.1.1
openmm-sys,7.4.1
minimp3_ex-sys,0.1.1
mc-sgx-dcap-ql-sys-types,0.6.0
libzetta,0.4.2
dvbv5-sys,0.2.1
csharpbindgen,0.1.0
cassandra-cpp-sys,1.1.0
pidfd_getfd,0.2.1
alpm-sys-ll,3.0.0
vjoy-sys,0.3.0
fitsio-derive,0.2.0
tinyshader-sys,0.1.0
raqm,0.1.0
lua-latest-sys,0.0.2
stumpless-sys,0.2.0
doomgeneric,0.3.0-beta.2
libbzip3-sys,0.2.2
quad-alsa-sys,0.3.2
xdpsock,0.1.0
objrs_frameworks_app_kit,0.0.2
alsahwdep-sys,0.4.0
rpi-led-matrix-sys,0.2.1
sd-journal,0.1.0
vst_window,0.3.0
cty,0.2.2
libquickjs-sys,0.10.0
libeyelink-sys,0.1.4
libesedb-sys,0.1.2
hsa,0.1.0
wlroots-sys,0.4.0
minimap2-sys,0.1.10
rlua-lua53-sys,0.1.3
xcb-util-cursor-sys,0.1.3
eccodes,0.6.8
minhook-sys,0.1.1
libyang2-sys,0.5.0
gnudbm,0.2.5
paddle-sys,0.1.2
libsqlite3-sys-le,0.21.0
bear-lib-terminal,2.0.0
bddisasm-sys,0.2.1
mach2,0.4.1
libinjection,0.3.2
aflak_imgui-sys,0.18.1
qt_core,0.5.0
libhmmer-sys,0.3.0
renderkit,1.0.0
renderdoc-api-sys,0.1.0
protobuf-sys,0.1.2+3.19.1
wgctrl-sys,0.1.0
ndi-sys,0.1.1
rayfork-sys,0.0.1
hinoko-sys,0.2.0
matio-rs-sys,0.2.2
ituneslibrary-sys,0.1.0
lawrencium,1.0.0
jimage-sys,0.1.0
nng-sys,1.4.0-rc.0
imgui-filedialog-sys,0.1.1
jq-sys,0.2.2
swift-std,0.0.0
volcasample-sys,0.1.0
rutin-tizen-sys,0.1.0
libalgobsec-sys,0.3.0+1.4.8.0
service-management-sys,0.1.0
wordexp-sys,1.0.0
substreams-ethereum-derive,0.9.1
isobus-plus-plus-sys,0.0.1
lucid-arena-sys,0.1.0
linux-support,0.0.25
ptrauth-sys,1.0.0
binaryen-sys,0.12.0
lcm,0.2.0
libxdiff-sys,0.1.0
min_gl,0.3.0
newrelic-sys,0.2.0
rs-libc,0.2.3
aubio-lib,0.1.3
sysrepo,0.2.0
dokan-sys,0.3.1+dokan206
fluidlite,0.2.1
librime-sys,0.4.0
detours-sys,0.1.2
sndfile-sys,0.3.1
tss-esapi-sys,0.4.0
tsf-sys,0.2.0
libsoda_sys,1.0.0
libftd2xx-ffi,0.8.6
cmph-sys,0.1.0
opencolorio-sys,0.0.0
jvm-sys,0.1.0
physfs-sys,0.0.0
nvml,0.0.2
pwd,1.4.0
wlc-sys-with_elogind,0.0.8
sasl2-sys,0.1.20+2.1.28
bindgen-cli,0.65.1
raw-syscall,0.7.4
ipp-ctypes,0.1.0
atari-env-sys,0.1.0
suitesparse_graphblas_sys,0.1.6
winsockraw-sys,0.1.0
agorartc-sys,3.1.4
xdrfile,0.3.0
evdi-sys,0.4.0
libappindicator-sys,0.8.0
botan-sys,0.10.2
dpdk-flow,0.1.0
openshadinglanguage-sys,0.0.0
librador-sys,0.1.0
uderna,0.1.0
libargon2-sys,0.2.0
vex-sys,0.3.0
julia-sys,0.2.0
ipp-sys-build-help,0.1.2
swift,0.0.0
egli,0.5.0
snowplay_sys,0.1.0
tf-kubernetes,0.1.1
vswhom-sys,0.1.2
mruby-sys,0.2.0
nutty,0.0.0
libquickjs-dtp-sys,0.9.0
gifsicle,1.93.0
guetzli-sys,0.0.3
mnl-sys,0.2.1
libyubihsm,0.2.1
pulsar-sys,2.7.0
raylib-sys,3.7.0
linux-aio-tokio,0.3.0
s7-sys,0.1.2
sdl2-sys,0.35.2
libisal-sys,0.1.2
livox-sys,0.1.1
twolame-sys,0.1.1
qt_3d_core,0.5.0
ni-daqmx-sys,20.7.1
tcl-sys,0.2.0
usd-sys,0.0.0
gz-transport-sys,0.1.0
mongoc-sys,1.22.0
lmdb-master3-sys,0.1.0
apk-tools-sys,0.1.0
xterm-js-sys,4.6.0-alpha1
gnurx-sys,0.3.5
corewlan-sys,0.1.0
unix-named-pipe,0.2.0
mc-sgx-tcrypto-sys,0.6.0
cloudflare-zlib-sys,0.3.0
dynamic_ocl,0.1.0-alpha.1
mmal-sys,0.1.0-3
icrate,0.0.2
rkaiq-sys,0.1.0
allegro_memfile-sys,0.0.44
libsbc-sys,0.1.2
ucl-sys,0.1.1
block-sys,0.2.0
nghttp2-sys,0.1.1
rlua-lua51-sys,0.1.3
lmbr_sys,0.1.0
opensubdiv-sys,0.0.0
webchain-rs,0.22.1
alsa-sys,0.3.1
flips-sys,0.2.1
rpi-pico-sdk-sys,0.0.2
libzfs_core-sys,0.1.0
geos-sys,2.0.5
fdp-sys,0.1.1
korg-syro-sys,0.2.0
nftnl-sys,0.6.1
azure-iot-rs-sys,0.1.7
lirc-sys,0.0.1
viable,0.2.0
wstp-sys,0.2.7
lzip-sys,0.1.4+1.13
playerctl-sys,0.1.6
xiapi-sys,0.1.1
louis-sys,0.6.1
syscall-numbers,3.1.0
substreams-sink-kv,0.1.3
