crate_name,version
espeakng,0.1.1
polyhorn-ui,0.4.0
elina-sys,0.1.1
devolutions-crypto,0.8.0
seccomp-droundy-sys,0.1.2
diffsitter,0.7.3
libthemis-sys,0.14.0
ors,0.0.12
audiopus_sys,0.2.2
engraver,2.5.0
coremedia-sys,0.0.2
littlefs,0.2.0
pro_env,3.0.0-rc2
compressed_map,0.1.0
rax,0.1.5
mbrman,0.5.2
interfaces2,0.0.5
rust_graphics_log,0.1.7
r18n,0.0.2
clickhouse-driver-lz4,0.1.0
eonil_apple_oslog,0.1.2
kontrak-sqlite,0.1.4
ep-capstone,0.1.0
cmsis_dsp_sys_pregenerated,0.1.0
enigma-tools-u,0.1.2
postgres_macros,0.1.13
implot-sys,0.6.0
common_messages_sv2,0.1.5
gdk4-x11-sys,0.6.3
clutter-rs,0.1.2
cnproc,0.2.1
ulid-lite,0.6.1
erase,4.0.0
termplay,2.0.6
rust-gmp,0.5.0
libaio-futures,0.2.3
edlib_rs,0.1.2
gemlab,0.4.0
ensync,1.0.1
wasmer-runtime-core-asml-fork,0.1.1
kangarootwelve_xkcp,0.1.5
remotery,0.1.2
rusty_v8_protryon,3.10.4
mun_runtime,0.4.0
embedded-spi,0.6.2
rosy,0.0.9
livesplit-hotkey,0.7.0
intel-mkl-sys,0.8.1
suricata-derive,7.0.0-alpha.5
sofia-sip,0.1.0
ekiden-grpcio-sys,0.2.4
ehsm,0.1.1
eigen_crypto,0.1.1
dvcompute_cons,1.3.5
wasmer-near,2.4.0
duktape,0.0.2
ecoz2,0.4.4
speedy,0.8.6
fuse-backend-rs,0.10.2
vst2,0.0.1
hnsw_rs,0.1.19
streamvbyte-sys,0.1.0
draco,0.1.2
chmlib,1.0.0
ecdh,0.0.12
jsaas,0.5.0
dukbind,0.0.4
assemblage_broadcast,0.1.0
xi-trace,0.2.0
ducc,0.1.5
dynlib,0.1.0
chiter,0.4.3
checkasm,0.1.0
dvcompute_network,1.3.3
rust-guile,0.1.6
fastmurmur3,0.1.2
caseconv,0.1.0
dora,0.0.2
annoy-rs,0.1.0
cxx-qt-gen,0.5.2
spreads,0.0.1
direct-asm,0.0.1-alpha
kmerutils,0.0.8
chillwm,0.1.1
chainblocks,0.1.0
unicorn,0.9.1
fuzzcheck,0.12.1
chimera,0.1.0
detours-sys,0.1.2
pd-sys,0.1.1
spdlog-src,0.1.1+v1.9.2
displaydoc-watt,0.1.0
anyint,0.1.0
spiro-sys,0.1.1
wordexp,0.1.0
solitaire,0.0.1
discord_game_sdk,1.0.1
tauri-libappindicator-sys,0.1.2
decrunch,0.1.2
solang,0.2.3
deelevate,0.2.0
solana-geyser-plugin-bigtable,1.10.31
didkit,0.5.0
dynamic_reload,0.10.0
aorist_extendr-macros,0.0.1
startin,0.6.2
alloc_buddy_simple2,0.1.2
deploy-temp-fringe,1.2.4
apriltag-sys,0.3.0
rsvg,0.4.0
sodiumoxide_extras,0.1.0
coin_cbc_sys,0.1.2
saltwater,0.11.0
solana-reed-solomon-erasure,4.0.1-3
aubio-rs,0.2.0
rsjni,0.4.0
ruby-mri,0.0.1
datafusion-rustyline,2.0.0-alpha-20180628
skymd,0.1.10
solana-geyser-plugin-postgres,1.10.5
libpostal-sys,0.1.1
ctty,0.1.0
rsync,0.1.2
decimal_fixes_mirror,2.0.4-fix1.0.0
softfloat-sys,0.1.3
cargo-fel4,0.7.2
dbus-rs,0.0.5
rhymuproc,1.1.2
softfloat-rs,0.1.0
rpgffi,0.3.3
indy-vdr,0.3.4
sodium-sys,0.0.4
daemon,0.0.8
simplesched,0.1.1
lucet-wasi,0.6.1
customasm,0.12.0
garando_syntax,0.1.0
agilulf_fs,0.1.0
smalloca,0.1.0
cses-cli,0.1.3
brioche-ducc,0.1.2-brioche
byteplug,0.0.1
roxido,0.5.0
