crate_name,category,text,id,count
GSL-sys,foreign_functions,"auto::gsl_fft_complex_workspace_float",5,1
GSL-sys,foreign_functions,"auto::gsl_fft_real_wavetable",5,1
GSL-sys,foreign_functions,"auto::gsl_fft_real_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_fft_halfcomplex_wavetable",5,1
GSL-sys,foreign_functions,"auto::gsl_fft_real_wavetable_float",5,1
GSL-sys,foreign_functions,"auto::gsl_fft_real_workspace_float",5,1
GSL-sys,foreign_functions,"auto::gsl_fft_halfcomplex_wavetable_float",5,1
GSL-sys,foreign_functions,"auto::gsl_histogram_pdf",5,1
GSL-sys,foreign_functions,"auto::gsl_histogram2d",5,1
GSL-sys,foreign_functions,"auto::gsl_histogram2d_pdf",5,1
GSL-sys,foreign_functions,"auto::gsl_ieee_float_rep",5,1
GSL-sys,foreign_functions,"auto::gsl_ieee_double_rep",5,1
GSL-sys,foreign_functions,"auto::gsl_integration_qaws_table",5,1
GSL-sys,foreign_functions,"auto::gsl_integration_qawo_table",5,1
GSL-sys,foreign_functions,"auto::gsl_integration_glfixed_table",5,1
GSL-sys,foreign_functions,"auto::gsl_integration_cquad_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_integration_fixed_type",5,1
GSL-sys,foreign_functions,"auto::gsl_integration_fixed_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_interp",5,1
GSL-sys,foreign_functions,"auto::gsl_interp_type",5,1
GSL-sys,foreign_functions,"auto::gsl_interp2d",5,1
GSL-sys,foreign_functions,"auto::gsl_interp2d_type",5,1
GSL-sys,foreign_functions,"auto::gsl_min_fminimizer_type",5,1
GSL-sys,foreign_functions,"auto::gsl_min_fminimizer",5,1
GSL-sys,foreign_functions,"auto::gsl_rng",5,1
GSL-sys,foreign_functions,"auto::gsl_monte_plain_state",5,1
GSL-sys,foreign_functions,"auto::gsl_monte_miser_state",5,1
GSL-sys,foreign_functions,"auto::gsl_monte_vegas_state",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_linear_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_robust_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_robust_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_robust_stats",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_fsolver_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_fsolver",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_function_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_fdfsolver_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_fdfridge",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_nlinear_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_nlinear_parameters",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_nlinear_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_multifit_nlinear_fdf",5,1
GSL-sys,foreign_functions,"auto::gsl_multimin_function_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_multimin_fminimizer",5,1
GSL-sys,foreign_functions,"auto::gsl_multimin_fminimizer_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multimin_fdfminimizer_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multimin_fdfminimizer",5,1
GSL-sys,foreign_functions,"auto::gsl_multimin_function_fdf_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_multiroot_fsolver_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multiroot_fsolver",5,1
GSL-sys,foreign_functions,"auto::gsl_multiroot_fdfsolver",5,1
GSL-sys,foreign_functions,"auto::gsl_multiroot_fdfsolver_type",5,1
GSL-sys,foreign_functions,"auto::gsl_multiroot_function_fdf_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv_step",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv_step_type",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv_system",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv_control",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv_control_type",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv_evolve",5,1
