error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows
839,vuln-reach,0.1.1,javascript::module::resolver::mem::tests::test_mem_resolver,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::module::tests::test_module_with_errors,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::module::tests::test_paths_to_side_effects,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::package::reachability::tests::test_find_path_esm,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::package::reachability::tests::test_package_traversal_cjs,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::package::reachability::tests::test_package_traversal_esm,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::package::reachability::tests::test_reachability_cjs,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::package::reachability::tests::test_reachability_esm,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::package::tests::test_foreign_imports,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::project::tests::test_trivial_reachability_cjs,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::project::tests::test_trivial_reachability_esm,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
840,webp-animation,0.8.0,decoder::tests::test_decoder_success,Undefined Behavior,"reading memory at alloc1960[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory","Undefined Behavior: reading memory at alloc[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory",FALSE
840,webp-animation,0.8.0,encoder::tests::test_encoder,Undefined Behavior,"reading memory at alloc1960[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory","Undefined Behavior: reading memory at alloc[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory",FALSE
841,wedpr_l_crypto_signature_secp256k1,1.1.0,tests::test_secp256k1_recover,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
842,weggli,0.2.4,_loop,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
842,weggli,0.2.4,_type,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
842,weggli,0.2.4,all_subqueries_must_match,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
842,weggli,0.2.4,allow_empty_blocks,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
842,weggli,0.2.4,casts,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
843,weggli,0.2.4,class_cpp,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
842,weggli,0.2.4,compound,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
843,weggli,0.2.4,cpp_namespace,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
842,weggli,0.2.4,exprstmt,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
