crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,num_duplicates
dec-number-sys,0.0.25,test_dec_quad_zero,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.","LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",1
dec-number-sys,0.0.25,test_dec_single_zero,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.","LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",1
everrs,0.2.1,chacha20poly1305::tests::seal_test_inplace,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",NA,1
everrs,0.2.1,x25519::tests::diffie_hellman_test,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field width mismatch: cannot convert an LLVM field of width 1 to a Rust field of type i32, which has width 4","LLVM field width mismatch: cannot convert an LLVM field of width 1 to a Rust field of type i32, which has width 4",1
grin_keychain,5.1.2,extkey_bip32::tests::test_vector_2,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",2
grin_keychain,5.1.2,keychain::test::test_key_derivation,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",2
grin_secp256k1zkp,0.7.12,tests::test_low_s,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",2
grin_secp256k1zkp,0.7.12,tests::test_recov_sig_serialize_compact,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",3
grin_secp256k1zkp,0.7.12,key::test::test_addition,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",14
grin_secp256k1zkp,0.7.12,pedersen::tests::rewind_message,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",7
