crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,error_root_stack,error_root_tree,num_duplicates
bip322-simple,0.3.1,tests::test_taproot_signature,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_4x64_impl.h:136:93,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:524:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/modules/extrakeys/main_impl.h:205:11",NA,2
bip47,0.3.0,tests::test_extract_payment_code_from_tx,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_4x64_impl.h:124:118,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:500:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:518:11",NA,3
blake2_c,0.3.3,test::test_empty_blake2b,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/arrayvec-0.4.12/src/maybe_uninit_nodrop.rs:19:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/arrayvec-0.4.12/src/maybe_uninit_nodrop.rs:19:20,11
blitsort-sys,0.1.0,sort::test_sorted,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a write access using <> at alloc[0x4], but that tag only grants SharedReadOnly permission for this location",write access through <> is forbidden,"/usr/src/ffickle/extracted/blitsort/blitsort.c:81:92,/usr/src/ffickle/extracted/blitsort/blitsort.c:131:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:165:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:953:3,/usr/src/ffickle/extracted/blitsort/blitsort.h:204:11","/usr/src/ffickle/extracted/blitsort/blitsort.c:81:92,/usr/src/ffickle/extracted/blitsort/blitsort.c:131:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:165:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:953:3,/usr/src/ffickle/extracted/blitsort/blitsort.h:204:11",1
brioche-ducc,0.1.2-brioche,tests::conversion::hash_set,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has been freed, so this pointer is dangling","memory access failed: alloc has been freed, so this pointer is dangling","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9",40
bsalib,0.1.0,v105::tests::write_read_identity_v105_compession,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds","memory access failed: alloc has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:688:22,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:799:12","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:688:22,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:799:12",2
btreec,0.3.0,tests::basic,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: null pointer is a dangling pointer (it has no provenance),memory access failed: null pointer is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/src/btree.c:147:5,/usr/src/ffickle/extracted/src/btree.c:182:18,/usr/src/ffickle/extracted/src/btree.c:456:10,/usr/src/ffickle/extracted/src/btree.c:493:12","/usr/src/ffickle/extracted/src/btree.c:147:5,/usr/src/ffickle/extracted/src/btree.c:182:18,/usr/src/ffickle/extracted/src/btree.c:456:10,/usr/src/ffickle/extracted/src/btree.c:493:12",4
bzip2,0.4.4,write::tests::smoke,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:383:25,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:424:24","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:383:25,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:424:24",11
bzip2,0.4.4,read::tests::zero_length_read_at_eof,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:454:45,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:454:45,3
bzip2,0.4.4,bufread::tests::bug_61,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:842:20","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:842:20",1
