crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,error_root_stack,error_root_tree,num_duplicates
duk,0.3.0,tests::eval_string_boolean_true,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has been freed, so this pointer is dangling","memory access failed: alloc has been freed, so this pointer is dangling","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:808:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:854:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:885:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:1014:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_heap_alloc.c:562:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_heap_alloc.c:1108:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_heap.c:57:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:808:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:854:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:885:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_stack.c:1014:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_heap_alloc.c:562:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_heap_alloc.c:1108:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/duk-sys-0.3.0/duk_api_heap.c:57:9",27
dukt,0.1.0,tests::serialized,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has been freed, so this pointer is dangling","memory access failed: alloc has been freed, so this pointer is dangling","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:808:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:854:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:885:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:1014:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:562:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:1108:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_heap.c:58:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:808:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:854:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:885:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:1014:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:562:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:1108:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_heap.c:58:9",6
dukt-macros,0.1.1,ret_ref_array,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has been freed, so this pointer is dangling","memory access failed: alloc has been freed, so this pointer is dangling","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:808:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:854:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:885:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:1014:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:562:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:1108:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_heap.c:58:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:808:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:854:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:885:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_stack.c:1014:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:562:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_heap_alloc.c:1108:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/dukt-sys-0.1.0/duk_api_heap.c:58:9",6
ecma_regex,0.0.2,supports_look_ahead,0,1,1,Undefined Behavior,Undefined Behavior,"deallocating alloc, which is C heap memory, using Rust heap deallocation operation","deallocating alloc, which is C heap memory, using Rust heap deallocation operation",/usr/src/ffickle/rust/library/alloc/src/alloc.rs:117:14,/usr/src/ffickle/rust/library/alloc/src/alloc.rs:117:14,1
elements-miniscript,0.2.0,descriptor::tests::parse_with_secrets,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x10], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_4x64_impl.h:136:118,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:524:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:542:11",NA,3
emd,0.1.1,tests::test_distance,0,1,1,memory leaked,memory leaked,"alloc (Rust heap, size: 16, align: 8), allocated here:","alloc (Rust heap, size: 32, align: 8), allocated here:",/usr/src/ffickle/rust/library/alloc/src/alloc.rs:98:9,/usr/src/ffickle/rust/library/alloc/src/alloc.rs:98:9,1
entab,0.3.1,compression::tests::test_read_bzip2,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:842:20","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:842:20",1
ep-capstone,0.2.0,arch::arm::test::arm_size_and_alignment,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 14, so pointer to 1 byte starting at offset 14 is out-of-bounds","memory access failed: alloc has size 14, so pointer to 1 byte starting at offset 14 is out-of-bounds",/usr/src/ffickle/extracted/test_helper.c:75:13,/usr/src/ffickle/extracted/test_helper.c:75:13,5
ep-capstone,0.2.0,arch::sysz::test::sysz_size_and_alignment,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 15, so pointer to 1 byte starting at offset 15 is out-of-bounds","memory access failed: alloc has size 15, so pointer to 1 byte starting at offset 15 is out-of-bounds",/usr/src/ffickle/extracted/test_helper.c:75:13,/usr/src/ffickle/extracted/test_helper.c:75:13,4
ep-capstone,0.2.0,arch::sparc::test::sparc_size_and_alignment,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 16, so pointer to 1 byte starting at offset 16 is out-of-bounds","memory access failed: alloc has size 16, so pointer to 1 byte starting at offset 16 is out-of-bounds",/usr/src/ffickle/extracted/test_helper.c:75:13,/usr/src/ffickle/extracted/test_helper.c:75:13,4
ep-capstone,0.2.0,insn::test::detail_size_and_alignment,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 17, so pointer to 1 byte starting at offset 17 is out-of-bounds","memory access failed: alloc has size 17, so pointer to 1 byte starting at offset 17 is out-of-bounds",/usr/src/ffickle/extracted/test_helper.c:75:13,/usr/src/ffickle/extracted/test_helper.c:75:13,1
ep-capstone,0.2.0,arch::mos65xx::test::mos65xx_size_and_alignment,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 18, so pointer to 1 byte starting at offset 18 is out-of-bounds","memory access failed: alloc has size 18, so pointer to 1 byte starting at offset 18 is out-of-bounds",/usr/src/ffickle/extracted/test_helper.c:75:13,/usr/src/ffickle/extracted/test_helper.c:75:13,1
ep-capstone,0.2.0,arch::tms320c64x::test::tms320c64x_size_and_alignment,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 21, so pointer to 1 byte starting at offset 21 is out-of-bounds","memory access failed: alloc has size 21, so pointer to 1 byte starting at offset 21 is out-of-bounds",/usr/src/ffickle/extracted/test_helper.c:75:13,/usr/src/ffickle/extracted/test_helper.c:75:13,1
eth-secp256k1,0.5.7,ecdh::tests::ecdh,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",src/ffi.rs:66:42,src/ffi.rs:66:42,1
eth-secp256k1,0.5.7,tests::signature_lax_der,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",src/ffi.rs:91:42,src/ffi.rs:91:42,1
fbx3d,0.1.0,tests::blender_cube,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 8 is required","accessing memory with alignment 1, but alignment 8 is required",/usr/src/ffickle/rust/library/core/src/slice/raw.rs:101:9,/usr/src/ffickle/rust/library/core/src/slice/raw.rs:101:9,1
final_compression,1.0.0,tests::test_compressed_writer_bz2,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:383:25,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:424:24","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:383:25,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:424:24",1
final_compression,1.0.0,tests::test_compressed_writer_lz4,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds","memory access failed: alloc has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:688:22,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:799:12","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:688:22,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:799:12",1
flatarchive,0.0.1,compression::bzip::tests::test_decompress,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:383:25,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:424:24","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:383:25,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:424:24",2
flips,0.2.1,linear::test_create_apply,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds","memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds",/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps.cpp:326:6,/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps.cpp:326:6,1
flips,0.2.1,delta::test_create_apply_with_moremem,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: null pointer is a dangling pointer (it has no provenance),memory access failed: null pointer is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:167:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:235:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:806:14,/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:840:9","/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:167:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:235:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:806:14,/usr/src/ffickle/extracted/target/debug/build/flips-sys-67e11579b0f3a43a/out/flips/libbps-suf.cpp:840:9",3
flips-sys,0.2.1,bps::tests::check_create_linear_and_apply,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 4096, so pointer to 1 byte starting at offset -1 is out-of-bounds","memory access failed: alloc has size 4096, so pointer to 1 byte starting at offset -1 is out-of-bounds",/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps.cpp:326:6,/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps.cpp:326:6,1
flips-sys,0.2.1,bps::tests::check_create_delta_and_apply,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: null pointer is a dangling pointer (it has no provenance),memory access failed: null pointer is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:167:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:235:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:806:14,/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:840:9","/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:167:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:235:3,/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:806:14,/usr/src/ffickle/extracted/target/debug/build/flips-sys-41b70547d1afbd7a/out/flips/libbps-suf.cpp:840:9",1
glean-core,54.0.0,database::test::safe_mode::migration_ignores_broken_database,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4280:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4739:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4987:8","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4280:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4739:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4987:8",4
glean-preview,0.0.5,test::it_initializes,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.9.6/lmdb/libraries/liblmdb/mdb.c:4283:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.9.6/lmdb/libraries/liblmdb/mdb.c:4742:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.9.6/lmdb/libraries/liblmdb/mdb.c:4990:8","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.9.6/lmdb/libraries/liblmdb/mdb.c:4283:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.9.6/lmdb/libraries/liblmdb/mdb.c:4742:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.9.6/lmdb/libraries/liblmdb/mdb.c:4990:8",3
grin_secp256k1zkp,0.7.12,tests::signature_lax_der,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",src/ffi.rs:117:42,src/ffi.rs:117:42,1
grin_secp256k1zkp,0.7.12,ecdh::tests::ecdh,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",src/ffi.rs:87:42,src/ffi.rs:87:42,1
grin_secp256k1zkp,0.7.12,key::test::test_bad_serde_deserialize,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",src/key.rs:356:82,src/key.rs:356:82,1
grin_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",src/macros.rs:156:56,src/macros.rs:156:56,1
h264bsd,0.1.1,tests::decode_and_save,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a write access using <> at alloc[0x28], but that tag does not exist in the borrow stack for this location",write access through <> is forbidden,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/h264bsd-sys-0.1.0/h264bsd/src/h264bsd_decoder.c:987:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/h264bsd-sys-0.1.0/h264bsd/src/h264bsd_decoder.c:987:20,1
heed,0.20.0-alpha.4,env::tests::create_database_without_commit,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:4830:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5318:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5633:8","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:4830:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5318:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5633:8",15
imgui,0.11.0,context::test_set_ini_filename,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",NA,/usr/src/ffickle/rust/library/core/src/ffi/c_str.rs:717:18,NA,2
jh-rs,0.1.0,tests::large,0,1,1,Undefined Behavior,Undefined Behavior,constructing invalid value: encountered an unaligned reference (required 8 byte alignment but found 1),constructing invalid value: encountered an unaligned reference (required 8 byte alignment but found 1),src/e8.rs:93:43,src/e8.rs:93:43,5
kg-js,0.8.4,tests::interop::call_rust_function,0,1,1,Undefined Behavior,Undefined Behavior,"trying to retag from <> for SharedReadWrite permission at alloc[0x8], but that tag only grants SharedReadOnly permission for this location",dereferencing pointer failed: 0xe6ed8[noalloc] is a dangling pointer (it has no provenance),src/bindings.rs:219:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/smallbox-0.8.2/src/smallbox.rs:362:18,1
kg-js,0.8.4,ser::tests::write_option_none,0,1,1,Undefined Behavior,Undefined Behavior,"trying to retag from <> for SharedReadWrite permission at alloc[0x8], but that tag only grants SharedReadOnly permission for this location","memory access failed: alloc has been freed, so this pointer is dangling",src/bindings.rs:219:5,"/usr/src/ffickle/extracted/duk_api_stack.c:808:53,/usr/src/ffickle/extracted/duk_api_stack.c:854:6,/usr/src/ffickle/extracted/duk_api_stack.c:885:9,/usr/src/ffickle/extracted/duk_api_stack.c:1014:2,/usr/src/ffickle/extracted/duk_hthread_builtins.c:224:2,/usr/src/ffickle/extracted/duk_heap_alloc.c:562:2,/usr/src/ffickle/extracted/duk_heap_alloc.c:1108:7,/usr/src/ffickle/extracted/duk_api_heap.c:58:9",17
klu-rs,0.4.0,test::smoke_test,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a write access using <> at alloc[0x48], but that tag only grants SharedReadOnly permission for this location",write access through <> is forbidden,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/klu_sys-0.2.0/vendor/KLU/Source/klu_analyze.c:465:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/klu_sys-0.2.0/vendor/KLU/Source/klu_analyze.c:465:20,1
lcms2,6.0.0,pipeline::pipeline,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lcms2-sys-4.0.3/vendor/src/cmslut.c:1660:27,NA,1
lcms2,6.0.0,mlu::mlu,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",write access through <> is forbidden,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lcms2-sys-4.0.3/vendor/src/cmsnamed.c:150:15,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lcms2-sys-4.0.3/vendor/src/cmsnamed.c:264:12","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lcms2-sys-4.0.3/vendor/src/cmsnamed.c:84:19,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lcms2-sys-4.0.3/vendor/src/cmsnamed.c:160:18,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lcms2-sys-4.0.3/vendor/src/cmsnamed.c:264:12",1
lcms2,6.0.0,context::context,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .<enum-tag>: encountered 0x63726550, but expected a valid enum tag","constructing invalid value at .<enum-tag>: encountered 0x63726550, but expected a valid enum tag",src/context.rs:165:66,src/context.rs:165:66,1
lexlib,2.0.1,color::colorf::gray,0,1,1,LLI interoperation error,LLI interoperation error,Rust type mismatch: cannot convert a Rust value of type `color::ColorF` to an LLVM value of type `<2 x float>`.,Rust type mismatch: cannot convert a Rust value of type `color::ColorF` to an LLVM value of type `<2 x float>`.,src/color/colorf.rs:35:10,src/color/colorf.rs:35:10,1
librsync,0.2.3,test::integration,0,1,0,Undefined Behavior,NA,"trying to retag from <> for SharedReadOnly permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",NA,src/lib.rs:452:9,NA,4
librsync,0.2.3,test::send_patch,0,1,1,Undefined Behavior,Undefined Behavior,"trying to retag from <> for SharedReadOnly permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",deallocation through <> is forbidden,src/lib.rs:452:9,/usr/src/ffickle/rust/library/alloc/src/alloc.rs:117:14,1
