crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,error_text_stack,error_text_tree,actual_failure_stack,actual_failure_tree,exit_signal_no_stack,exit_signal_no_tree,shared,num_duplicates
spdkit,0.1.0,fingerprint::test_reorder_by_connect,0,1,101,Undefined Behavior,Stack Overflow,memory access failed: 0x7ff284699868[noalloc] is a dangling pointer (it has no provenance),fatal runtime error: stack overflow,FALSE,FALSE,NA,6,TRUE,1
paq,1.0.1,it_hashes_directory_with_ignored_file,0,1,101,Undefined Behavior,Test Failed,deallocating while item [SharedReadOnly for <>] is strongly protected by call <>,"test failed, to rerun pass `--test functional`",FALSE,TRUE,NA,NA,FALSE,1
tinylj,0.1.3,test_lua_fn,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
tinylj,0.1.3,test_push_lua_function,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
tinylj,0.1.3,do_bad_file,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
tinylj,0.1.3,do_file,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
tinylj,0.1.3,load_file,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
tinylj,0.1.3,do_invalid_string,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
tinylj,0.1.3,do_valid_string,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
tinylj,0.1.3,test_double_sentinel,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,FALSE,FALSE,NA,NA,FALSE,1
