crate_name,test_name,error_type_stack,error_type_tree,error_text_stack,error_text_tree,error_root_stack,error_root_tree,error_id,mode
ast-grep-config,constraints::test::test_serializable_kind,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,deserialize_env::test::test_local_util_kinds,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,deserialize_env::test::test_local_util_matches,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,relational_rule::test::test_has_until_should_be_inclusive,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,relational_rule::test::test_has_until_should_not_abort_prematurely,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,relational_rule::test::test_inside_field,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,relational_rule::test::test_inside_inclusive,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,test::test_deserialize_inside,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,test::test_deserialize_kind,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-config,test::test_deserialize_not_inside,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,10,zeroed
ast-grep-core,matcher::kind::test::test_kind_potential_kinds,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,11,zeroed
atms,multi_sig::tests::serde_sig,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/vect.h:231:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:322:40,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:343:10",NA,12,zeroed
bad64,testcases,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode_scratchpad.c:10581:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode.c:38:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode_scratchpad.c:10581:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode.c:38:9",13,zeroed
bchlib,tests::test_decode,memory leaked,memory leaked,"alloc (C heap, size","alloc (C heap, size",NA,NA,14,zeroed
bchlib,tests::test_decode_err,memory leaked,memory leaked,"alloc (C heap, size","alloc (C heap, size",NA,NA,14,zeroed
bchlib,tests::test_sync_codeword,memory leaked,memory leaked,"alloc (C heap, size","alloc (C heap, size",NA,NA,14,zeroed
bchlib-sys,tests::it_works,memory leaked,memory leaked,"alloc (C heap, size","alloc (C heap, size",NA,NA,15,zeroed
bdk_chain,test_list_owned_txouts,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.6.1/depend/secp256k1/src/scalar_4x64_impl.h:124:118,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.6.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.6.1/depend/secp256k1/src/secp256k1.c:500:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.6.1/depend/secp256k1/src/secp256k1.c:518:11",NA,16,zeroed
bip322-simple,tests::test_base64_encoded_signature,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_4x64_impl.h:136:93,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:456:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:504:11",NA,17,zeroed
bip322-simple,tests::test_simple_sig_segwit,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_4x64_impl.h:136:93,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:456:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:504:11",NA,17,zeroed
bip322-simple,tests::test_simple_sig_taproot,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_4x64_impl.h:136:93,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:524:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/modules/extrakeys/main_impl.h:205:11",NA,18,zeroed
bip322-simple,tests::test_taproot_signature,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_4x64_impl.h:136:93,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:524:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/modules/extrakeys/main_impl.h:205:11",NA,18,zeroed
bip351,tests::notifications_and_transacting,LLI interoperation error,LLI interoperation error,Rust type mismatch,Rust type mismatch,NA,NA,19,zeroed
bip47,tests::test_ecdh_params,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_4x64_impl.h:124:118,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:500:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:518:11",NA,21,zeroed
bip47,tests::test_extract_payment_code_from_tx,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_4x64_impl.h:124:118,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:500:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:518:11",NA,21,zeroed
bip47,tests::test_payment_address_alice_side,Undefined Behavior,LLI interoperation error,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",Rust type mismatch,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_4x64_impl.h:124:118,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:500:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:518:11",NA,20,zeroed
bip47,tests::test_payment_code_from_seed,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_4x64_impl.h:124:118,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:500:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.5.2/depend/secp256k1/src/secp256k1.c:518:11",NA,21,zeroed
blake2_c,test::test_all_parameters_blake2b,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_all_parameters_blake2s,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_empty_blake2b,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_empty_blake2s,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_finalize_twice_panics_blake2b,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_finalize_twice_panics_blake2s,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_foo_blake2b,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_foo_blake2s,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_large_input_blake2b,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_large_input_blake2s,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blake2_c,test::test_one_off_functions,Undefined Behavior,Undefined Behavior,constructing invalid value at .value[0],constructing invalid value at .value[0],NA,NA,22,zeroed
blitsort-sys,sort::test_sorted,Undefined Behavior,Undefined Behavior,"attempting a write access using <> at alloc[0x4], but that tag only grants SharedReadOnly permission for this location",write access through <> is forbidden,"/usr/src/ffickle/extracted/blitsort/blitsort.c:81:92,/usr/src/ffickle/extracted/blitsort/blitsort.c:131:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:165:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:953:3,/usr/src/ffickle/extracted/blitsort/blitsort.h:204:11","/usr/src/ffickle/extracted/blitsort/blitsort.c:81:92,/usr/src/ffickle/extracted/blitsort/blitsort.c:131:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:165:2,/usr/src/ffickle/extracted/blitsort/blitsort.c:953:3,/usr/src/ffickle/extracted/blitsort/blitsort.h:204:11",23,zeroed
blosc2-src,floats_roundtrip,LLI interoperation error,LLI interoperation error,Unsupported LLVM Type,Unsupported LLVM Type,"/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:176:9,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:238:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:378:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:462:19,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1203:16,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1952:18,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2133:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2436:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2553:12","/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:176:9,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:238:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:378:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:462:19,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1203:16,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1952:18,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2133:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2436:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2553:12",24,zeroed
brioche-ducc,tests::array::elements,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9",26,zeroed
brioche-ducc,tests::array::len,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9",26,zeroed
brioche-ducc,tests::array::push,Undefined Behavior,Undefined Behavior,memory access failed,memory access failed,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:807:53,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:852:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:882:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_stack.c:1011:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_hthread_builtins.c:224:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:558:2,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_heap_alloc.c:1086:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brioche-ducc-sys-0.1.2-brioche/duk_api_heap.c:57:9",26,zeroed
