crate_name,test_name,full_error_text,error_type,error_text,error_subtext,error_root
actix-lua,actor::tests::lua_actor_syntax_error,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-0.16.3/lua/lstate.c:83:36
apriltag-image,image_buf::tests::convert_image_buffer_vs_image,4:fatal runtime error: stack overflow,Stack Overflow,NA,NA,NA
archive-lp,xz_tar_extract_a_file,"test failed, to rerun pass `--test xztar`",Test Failed,NA,NA,NA
ast-grep-tree-sitter-c-sharp,tests::can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
authoscope,ctx::tests::verify_basic_auth_correct,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lua52-sys-0.1.2/lua/src/lstate.c:91:36
bad64,testcases,"Undefined Behavior: memory access failed: alloc has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds",Undefined Behavior,memory access failed,"alloc4637 has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode_scratchpad.c:10581:23
bchlib,tests::test_sync_codeword,"memory leaked: alloc (Allocated in heap by LLVM, size: 24, align: 16), allocated here:",memory leaked,"alloc25363 (Allocated in heap by LLVM, size","24, align",NA
bchlib,tests::test_decode,"memory leaked: alloc (Allocated in heap by LLVM, size: 36, align: 16), allocated here:",memory leaked,"alloc25329 (Allocated in heap by LLVM, size","36, align",NA
bchlib,tests::test_decode_err,"memory leaked: alloc (Allocated in heap by LLVM, size: 4, align: 4), allocated here:",memory leaked,"alloc25315 (Allocated in heap by LLVM, size","4, align",NA
bchlib-sys,tests::it_works,"memory leaked: alloc (Allocated in heap by LLVM, size: 4, align: 4), allocated here:",memory leaked,"alloc25487 (Allocated in heap by LLVM, size","4, align",NA
bdflib,tests::it_writes_compressed,deadlock: the evaluated program deadlocked,deadlock,the evaluated program deadlocked,NA,NA
blake2_c,test::test_all_parameters_blake2b,"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value[0],"encountered uninitialized memory, but expected an integer",NA
blitsort-sys,sort::test_sorted,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <90860> is forbidden,NA,/usr/src/ffickle/extracted/blitsort/blitsort.c:81:92
blosc-src,roundtrip,"Undefined Behavior: deallocating alloc, which is C heap memory, using Allocated in heap by LLVM deallocation operation",Undefined Behavior,"deallocating alloc25036, which is C heap memory, using Allocated in heap by LLVM deallocation operation",NA,/usr/src/ffickle/extracted/c-blosc/blosc/blosc.c:237:5
blosc2-src,roundtrip,"Undefined Behavior: deallocating alloc, which is C heap memory, using Allocated in heap by LLVM deallocation operation",Undefined Behavior,"deallocating alloc25757, which is C heap memory, using Allocated in heap by LLVM deallocation operation",NA,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:205:3
brioche-ducc,tests::array::elements,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",Undefined Behavior,memory access failed,"alloc46587 has been freed, so this pointer is dangling",:807:53
brotli2,drop_writer_incomplete_input_no_loop,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brotli-sys-0.3.2/brotli/dec/state.c:87:24
bsalib,v105::tests::write_read_identity_bsa_compressed,LLI interoperation error: invalid memory copy with memcpy,LLI interoperation error,invalid memory copy with memcpy,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:688:22
btreec,tests::ascend_descend,LLI interoperation error: invalid memory copy with memcpy,LLI interoperation error,invalid memory copy with memcpy,NA,/usr/src/ffickle/extracted/src/btree.c:147:5
bzip2,read::tests::multistream_read_till_eof,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <97080> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23
bzip2,read::tests::empty,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <96992> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:454:45
bzip2,bufread::tests::bug_61,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <96978> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178
capstone,test::test_arch_m680x_detail,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/capstone-sys-0.15.0/capstone/arch/M680X/M680XDisassembler.c:1001:54
carbon-dump,sublime::main,Undefined Behavior: memory access failed: 0x10[noalloc] is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,0x10[noalloc] is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/onig_sys-69.8.1/oniguruma/src/regparse.c:665:10
cat_solver,tests::bad_limit,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/usr/src/ffickle/extracted/kissat/src/clause.c:40:13
cf_rh320u_93_reader,buzzer,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 16 bytes instead,Undefined Behavior,scalar size mismatch,expected 4 bytes but got 16 bytes instead,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libusb1-sys-0.6.4/libusb/libusb/os/threads_posix.h:81:92
chmlib-sys,open_example_file,"test failed, to rerun pass `--test smoke_test`",Test Failed,NA,NA,NA
clickhouse-driver-lz4,test::test_decompression,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/usr/src/ffickle/extracted/liblz4/lib/lz4.c:304:72
crypto_pimitives,aesni_test::aesni_192_key_expansion_test,"Undefined Behavior: memory access failed: alloc has size 24, so pointer to 8 bytes starting at offset 24 is out-of-bounds",Undefined Behavior,memory access failed,"alloc25121 has size 24, so pointer to 8 bytes starting at offset 24 is out-of-bounds",/usr/src/ffickle/extracted/src/hw/aesni_key.c:84:13
ctaes-sys,tests::aes_gcm_decrypt_test_vectors,"Undefined Behavior: constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0],"encountered uninitialized memory, but expected an integer",NA
db3-sqlparser,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
dec,test_decimal128_ops,LLI interoperation error: invalid memory copy with memcpy: cannot copy equal pointers with different provenance.,LLI interoperation error,invalid memory copy with memcpy,cannot copy equal pointers with different provenance.,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/decnumber-sys-0.1.5/decnumber/decBasic.c:3376:11
dec,decnum_raw_parts,"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.lsu[6],"encountered uninitialized memory, but expected an integer",NA
dec,test_decimal128_special_value_coefficient,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <112245> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/decnumber-sys-0.1.5/decnumber/decBasic.c:2644:10
dec,test_agg_wide_narrow_decnum,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <112282> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/decnumber-sys-0.1.5/decnumber/decNumber.c:6378:12
dec,test_standard_notation_decimal,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <115608> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/decnumber-sys-0.1.5/decnumber/decNumber.c:6380:22
dec,decnum_round_reduce_to_place,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <111239> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/decnumber-sys-0.1.5/decnumber/decNumber.c:6944:9
dec,test_decimal128_set_exponent,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/decnumber-sys-0.1.5/decnumber/decCommon.c:1625:77
dec-number-sys,test_dec_double_zero,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",LLI interoperation error,LLVM field count mismatch,"cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",NA
dec-number-sys,test_dec_quad_divide_fma,LLI interoperation error: invalid memory copy with memcpy,LLI interoperation error,invalid memory copy with memcpy,NA,/usr/src/ffickle/extracted/decNumber-icu-368/decBasic.c:2249:15
dec-number-sys,test_dec_quad_get_coefficient,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <111400> is forbidden,NA,/usr/src/ffickle/extracted/decNumber-icu-368/decCommon.c:1061:195
dec-number-sys,test_dec_quad_get_exponent,"test failed, to rerun pass `--test dec_quad`",Test Failed,NA,NA,NA
decnumber-sys,simple_addition,"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.lsu[6],"encountered uninitialized memory, but expected an integer",NA
digibyte,util::bip32::tests::test_vector_1,"test failed, to rerun pass `--lib`",Test Failed,NA,NA,NA
ducc,tests::array::elements,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",Undefined Behavior,memory access failed,"alloc46758 has been freed, so this pointer is dangling",:807:53
duk,tests::call_non_existent,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",Undefined Behavior,memory access failed,"alloc47791 has been freed, so this pointer is dangling",:808:53
dukt,serialize::tests::deserialize_num,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",Undefined Behavior,memory access failed,"alloc45084 has been freed, so this pointer is dangling",:808:53
ecma_regex,supports_look_ahead,"Undefined Behavior: deallocating alloc, which is Allocated in heap by LLVM memory, using Rust heap deallocation operation",Undefined Behavior,"deallocating alloc26378, which is Allocated in heap by LLVM memory, using Rust heap deallocation operation",NA,NA
emd,tests::test_distance,"memory leaked: alloc (Rust heap, size: 16, align: 8), allocated here:",memory leaked,"alloc27165 (Rust heap, size","16, align",NA
entab,compression::tests::test_read_bzip2,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <112798> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178
etch,example,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/miniz-sys-0.1.12/miniz.c:2362:19
eth-secp256k1,ecdh::tests::ecdh,"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.0[0],"encountered uninitialized memory, but expected an integer",NA
experimental-tree-sitter-swift,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
fastcrypto,secp256k1_recoverable_tests::test_sk_zeroization_on_drop,"Undefined Behavior: out-of-bounds pointer arithmetic: alloc has been freed, so this pointer is dangling",Undefined Behavior,out-of-bounds pointer arithmetic,"alloc373890 has been freed, so this pointer is dangling",NA
fbx3d,tests::blender_cube,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/miniz-sys-0.1.12/miniz.c:2362:19
flatarchive,compression::bzip::tests::test_compress_empty,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <132367> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23
gmod-lzma,test_compress,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/usr/src/ffickle/extracted/bootil/src/3rdParty/lzma/LzFind.c:224:28
grin_secp256k1zkp,ecdh::tests::ecdh,"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.0[0],"encountered uninitialized memory, but expected an integer",NA
grin_secp256k1zkp,key::test::test_bad_deserialize,"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value[0],"encountered uninitialized memory, but expected an integer",NA
h264bsd,tests::decode_and_save,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <94642> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/h264bsd-sys-0.1.0/h264bsd/src/h264bsd_decoder.c:987:20
hlua,any::tests::non_utf_8_string,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lua52-sys-0.1.2/lua/src/lstate.c:91:36
kg-js,tests::interop::call_rust_function,Undefined Behavior: dereferencing pointer failed: 0xea5c8[noalloc] is a dangling pointer (it has no provenance),Undefined Behavior,dereferencing pointer failed,0xea5c8[noalloc] is a dangling pointer (it has no provenance),NA
kg-js,de::tests::deserialize_nan,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",Undefined Behavior,memory access failed,"alloc48756 has been freed, so this pointer is dangling",:808:53
kissat,tests::miter_buggy_mux2,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/usr/src/ffickle/extracted/kissat/src/clause.c:40:13
klu-rs,test::smoke_test,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <94607> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/klu_sys-0.2.0/vendor/KLU/Source/klu_analyze.c:465:20
kurobako_core,domain::tests::constraint_test,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-0.17.1/lua/lstate.c:83:36
libhydrogen,utils::tests::test_utils,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libhydrogen-sys-0.9.1/libhydrogen/impl/core.h:188:21
librsync,test::delta,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/librsync-sys-0.1.2/librsync/src/job.c:59:24
libtz,timezone::tests::basics,"test failed, to rerun pass `--lib`",Test Failed,NA,NA,NA
libtz-sys,tests::localtime_rz_test,"test failed, to rerun pass `--lib`",Test Failed,NA,NA,NA
libudis86-sys,tests::it_works,Undefined Behavior: memory access failed: 0x7f40eda66870[noalloc] is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,0x7f40eda66870[noalloc] is a dangling pointer (it has no provenance),/usr/src/ffickle/extracted/libudis86/udis86.c:52:24
libusb1-sys,test_get_device_list,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 16 bytes instead,Undefined Behavior,scalar size mismatch,expected 4 bytes but got 16 bytes instead,/usr/src/ffickle/extracted/libusb/libusb/os/threads_posix.h:81:92
littlefs2,fs::tests::issue_3_original_report,Undefined Behavior: reborrow through <> is forbidden,Undefined Behavior,reborrow through <258852> is forbidden,NA,NA
lsmlite-rs,tests::can_work_with_compressed_db_with_background_checkpointer,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <232786> is forbidden,NA,:81:9
lua-latest-sys,tests::version_test,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/usr/src/ffickle/extracted/lua-5.4.4/src/lstate.c:73:37
lua-sys,test_arith,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/usr/src/ffickle/extracted/embedded/lstate.c:83:36
lua_actor,actor::test_actor_new,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-0.17.1/lua/lstate.c:83:36
luau-ast-rs-grammar,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
lucet-runtime-internals,context::tests::c_child::call_child,"Undefined Behavior: constructing invalid value at .value.__val[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.__val[0],"encountered uninitialized memory, but expected an integer",NA
lz4,decoder::test::test_decoder_empty,LLI interoperation error: invalid memory copy with memcpy,LLI interoperation error,invalid memory copy with memcpy,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:688:22
lz4,decoder::test::test_decoder_smallest,"Undefined Behavior: memory access failed: alloc has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds",Undefined Behavior,memory access failed,"alloc27109 has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:1581:24
lz4,decoder::test::test_decoder_send,"Undefined Behavior: memory access failed: alloc has size 8, so pointer to 8 bytes starting at offset 64 is out-of-bounds",Undefined Behavior,memory access failed,"alloc26824 has size 8, so pointer to 8 bytes starting at offset 64 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:1263:40
lzzzz,lz4f::dictionary::tests::create_dictionary,"test failed, to rerun pass `--lib`",Test Failed,NA,NA,NA
minilzo-rs,tests::test_lzo_cmpress,"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value[0],"encountered uninitialized memory, but expected an integer",NA
minimp3_ex-sys,open_dummy_cb,"memory leaked: alloc (Allocated in heap by LLVM, size: 131072, align: 16), allocated here:",memory leaked,"alloc25006 (Allocated in heap by LLVM, size","131072, align",NA
mozjpeg,compress::convert_colorspace,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <97706> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/mozjpeg-sys-2.0.4/vendor/jerror.c:213:28
ms5837,tests::crc4,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <92702> is forbidden,NA,/usr/src/ffickle/extracted/src/crc4.c:10:13
mugle_secp256k1zkp,ecdh::tests::ecdh,"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.0[0],"encountered uninitialized memory, but expected an integer",NA
mugle_secp256k1zkp,key::test::test_bad_deserialize,"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value[0],"encountered uninitialized memory, but expected an integer",NA
n5,compression::lz::tests::test_rw,LLI interoperation error: invalid memory copy with memcpy,LLI interoperation error,invalid memory copy with memcpy,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:688:22
n5,compression::lz::tests::test_read_doc_spec_block,"Undefined Behavior: memory access failed: alloc has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds",Undefined Behavior,memory access failed,"alloc29860 has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lz4-sys-1.9.4/liblz4/lib/lz4frame.c:1581:24
n5,compression::bzip::tests::test_rw,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <108253> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23
n5,compression::bzip::tests::test_read_doc_spec_block,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <104948> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178
neuromorphic-drivers,read,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 16 bytes instead,Undefined Behavior,scalar size mismatch,expected 4 bytes but got 16 bytes instead,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libusb1-sys-0.6.4/libusb/libusb/os/threads_posix.h:81:92
p256k1,scalar::tests::add_assign,"test failed, to rerun pass `--lib`",Test Failed,NA,NA,NA
parquet2,read::lz4_legacy::test_lz4_large_file,26:fatal runtime error: stack overflow,Stack Overflow,NA,NA,NA
pbf-reader,tests::simple_count,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/miniz-sys-0.1.11/miniz.c:2362:19
pcre2,bytes::tests::find_start_end_and_as_bytes,"test failed, to rerun pass `--lib`",Test Failed,NA,NA,NA
pepegsitter,java::tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
phar,test_bzip,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <103569> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23
picohttpparser-sys,accept_msb_chars,"Undefined Behavior: memory access failed: alloc has size 5, so pointer to 8 bytes starting at offset 0 is out-of-bounds",Undefined Behavior,memory access failed,"alloc753 has size 5, so pointer to 8 bytes starting at offset 0 is out-of-bounds",/usr/src/ffickle/extracted/deps/picohttpparser/picohttpparser.c:109:28
picohttpparser-sys,incomplete_1,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <99939> is forbidden,NA,/usr/src/ffickle/extracted/deps/picohttpparser/picohttpparser.c:429:13
picto,xyz::read_as_is,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/miniz-sys-0.1.12/miniz.c:2362:19
plthook,tests::use_c_api,Undefined Behavior: memory access failed: 0x7f8e4f5b4110[noalloc] is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,0x7f8e4f5b4110[noalloc] is a dangling pointer (it has no provenance),/usr/src/ffickle/extracted/vendor/plthook/plthook_elf.c:318:52
plthook,tests::replace_atof,Undefined Behavior: memory access failed: 0x7fdd69c58110[noalloc] is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,0x7fdd69c58110[noalloc] is a dangling pointer (it has no provenance),/usr/src/ffickle/extracted/vendor/plthook/plthook_elf.c:318:52
pqcrypto-threebears,ffi::test_mamabear_clean::test_ffi,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"got 1, expected at least 4",/usr/src/ffickle/extracted/pqclean/common/randombytes.c:120:19
quickjs_regex,test_regex,"Undefined Behavior: memory access failed: alloc has size 10, so pointer to 1 byte starting at offset 10 is out-of-bounds",Undefined Behavior,memory access failed,"alloc25046 has size 10, so pointer to 1 byte starting at offset 10 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/quickjs_regex_backend-0.1.0/src/libregexp.c:1504:13
rabbitizer,tests::test_get_operand_type,"Undefined Behavior: accessing memory with alignment 1, but alignment 4 is required",Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required",NA,NA
rebound-sys,tests::test_integrate_particle,"LLI interoperation error: argument count mismatch: LLVM function reb_particle_new void (ptr, ptr, ptr, ...) expects at least 3 arguments, but Rust provided 4",LLI interoperation error,argument count mismatch,"LLVM function reb_particle_new void (ptr, ptr, ptr, ...) expects at least 3 arguments, but Rust provided 4",NA
rlua-async,tests::actually_awaiting_fn,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-lua54-sys-0.1.1/lua-5.4.3/src/lstate.c:73:37
rlua-builders,test_all,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-0.17.1/lua/lstate.c:83:36
rlua_serde,de::tests::test_enum,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-0.17.1/lua/lstate.c:83:36
rs-secp256k1,ecdh::tests::ecdh,"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.0[0],"encountered uninitialized memory, but expected an integer",NA
rsbx,multihash_tests::test_vectors::blake2b_512_test_vectors,"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value[0],"encountered uninitialized memory, but expected an integer",NA
rtreec,tests::rtreec_new,LLI interoperation error: invalid memory copy with memcpy,LLI interoperation error,invalid memory copy with memcpy,NA,/usr/src/ffickle/extracted/src/rtree.c:201:5
rudeboy,add,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-0.17.1/lua/lstate.c:83:36
